TargetName,JJ93.|.001.|.tumor,JJ93.|.001.|.CD45,JJ93.|.002.|.Ki67+.tumor,JJ93.|.002.|.tumor,JJ93.|.002.|.CD45,JJ93.|.003.|.Ki67+.tumor,JJ93.|.003.|.tumor,JJ93.|.003.|.CD45,JJ93.|.004.|.tumor,JJ93.|.004.|.CD45,JJ93.|.005.|.tumor,JJ93.|.005.|.CD45,JJ98.|.001.|.Ki67+.tumor,JJ98.|.001.|.tumor,JJ98.|.001.|.CD45,JJ98.|.002.|.Ki67+.tumor,JJ98.|.002.|.tumor,JJ98.|.002.|.CD45,JJ98.|.003.|.Ki67+.tumor,JJ98.|.003.|.tumor,JJ98.|.003.|.CD45,JJ98.|.004.|.tumor,JJ98.|.005.|.tumor,JJ98.|.006.|.tumor
KLHDC10,55,7,8,19,3,7,25,2,20,4,23,3,15,19,27,6,48,13,10,49,38,12,8,1
KLHDC2,69,6,7,33,9,10,29,2,38,7,36,3,27,27,35,8,55,12,4,28,45,5,5,2
KLHDC3,134,10,18,48,7,19,38,12,42,11,53,4,25,40,53,9,60,17,6,52,78,12,15,4
KLHDC4,44,5,3,23,6,5,11,2,23,2,20,3,13,9,15,2,33,5,2,33,23,5,4,1
KLHDC7A,18,8,4,8,3,1,7,2,7,4,6,3,8,7,13,1,8,2,2,9,17,15,3,4
KLHDC7B,17,7,1,11,2,1,4,2,9,5,8,2,3,7,10,4,14,4,2,8,20,11,5,2
KLHDC8A,78,9,12,25,5,17,28,4,39,6,15,1,12,40,24,6,52,12,7,61,33,10,6,2
KLHDC8B,41,4,5,36,3,7,18,1,27,8,13,1,19,28,35,7,44,8,13,40,37,31,21,3
KLHDC9,30,2,5,14,1,4,10,2,14,2,19,3,8,3,18,2,18,4,1,21,31,15,9,1
KLHL1,11,4,1,5,1,6,9,3,7,2,7,1,3,8,11,1,12,8,1,3,12,4,5,1
KLHL10,14,2,4,14,1,4,3,1,10,2,15,4,6,10,13,2,17,2,1,9,14,8,3,2
KLHL11,49,10,5,20,4,6,14,2,19,6,22,2,16,17,33,5,42,18,5,34,50,6,6,1
